lat,lon,onground,time,heading,callsign,icao24
49.40035027972722,5.2758949681332235,false,1548111890,70.42385192149086,SRR6315 ,45ce56
49.404400324417374,4.890939812911184,false,1548113400,59.8756820016388,AFR382  ,394a18
49.40473937988281,4.9986384465144225,false,1548113140,63.90218233523929,BCS1263 ,406f68
49.40547102588718,5.25652433696546,false,1548112060,62.97149458703881,BCS1519 ,3c542e
49.40666198730469,5.303227351262019,false,1548111900,70.47210052933298,SRR6315 ,45ce56
49.409454345703125,4.996384840745192,false,1548112640,47.70968665678013,AFR188  ,394a09
49.412733174986755,5.329525596217104,false,1548111910,70.60793148921834,SRR6315 ,45ce56
49.41366421974311,5.02646195261102,false,1548113150,64.01957934362719,BCS1263 ,406f68
49.4146728515625,5.284142127403846,false,1548112070,62.97149458703881,BCS1519 ,3c542e
49.4154052734375,4.9199030949519225,false,1548113410,59.8756820016388,AFR382  ,394a18
49.41622459282309,4.6942700837787825,false,1548112370,40.92698955194779,UPS257  ,a3dcd6
49.41883850097656,5.3563983623798075,false,1548111920,70.74398952559778,SRR6315 ,45ce56
49.42286682128906,5.0570209209735575,false,1548113160,63.96219571458934,BCS1263 ,406f68
49.423347085209215,5.020029168379934,false,1548112650,48.23311949104142,AFR188  ,394a09
49.42378234863281,5.3115375225360575,false,1548112080,62.85622325731425,BCS1519 ,3c542e
49.42478942871094,5.382385253906249,false,1548111930,70.74398952559778,SRR6315 ,45ce56
49.425907458289196,4.9476784153988485,false,1548113420,59.8756820016388,AFR382  ,394a18
49.4308885477357,5.409207730679899,false,1548111940,70.74398952559778,SRR6315 ,45ce56
49.43174743652344,5.084935238486842,false,1548113170,63.96219571458934,BCS1263 ,406f68
49.43284606933594,4.716459575452302,false,1548112380,41.10351912912809,UPS257  ,a3dcd6
49.43321615962659,5.339652396537162,false,1548112090,62.85622325731425,BCS1519 ,3c542e
49.43694033865201,5.435782767630912,false,1548111950,70.88027367006885,SRR6315 ,45ce56
49.437033443127646,4.976955104518581,false,1548113430,59.8756820016388,AFR382  ,394a18
49.437685174457094,5.045322727512669,false,1548112660,49.45221528995235,AFR188  ,394a09
49.440582275390625,5.112834729646381,false,1548113180,64.01957934362719,BCS1263 ,406f68
49.44248005495233,5.367563608530405,false,1548112100,62.97149458703881,BCS1519 ,3c542e
49.44300842285156,5.462590267783717,false,1548111960,70.88027367006885,SRR6315 ,45ce56
49.448112875728285,5.006128259607263,false,1548113440,59.8756820016388,AFR382  ,394a18
49.448638916015625,4.737492611533717,false,1548112390,40.92698955194779,UPS257  ,a3dcd6
49.44891357421875,5.488610518606085,false,1548111970,70.88027367006885,SRR6315 ,45ce56
49.44932556152344,5.140661942331414,false,1548113190,64.01957934362719,BCS1263 ,406f68
49.4515577413268,5.394955196896115,false,1548112110,63.087003022256326,BCS1519 ,3c542e
49.45170593261719,5.070696379009045,false,1548112670,49.7998361139047,AFR188  ,394a09
49.454864501953125,5.515208997224506,false,1548111980,71.0167829407738,SRR6315 ,45ce56
49.45829772949219,5.16863371196546,false,1548113200,64.01957934362719,BCS1263 ,406f68
49.45843505859375,5.033762078536184,false,1548113450,60.42216131873867,AFR382  ,394a18
49.46076965332031,5.541518361944901,false,1548111990,70.96967282042544,SRR6315 ,45ce56
49.46100784560381,5.423386032516892,false,1548112120,63.087003022256326,BCS1519 ,3c542e
49.464685472391416,4.758861644847973,false,1548112400,41.02138389226273,UPS257  ,a3dcd6
49.46525573730469,5.095415617290295,false,1548112680,49.97351540229373,AFR188  ,394a09
49.46678032309322,5.568064096811655,false,1548112000,70.51177021934951,SRR6315 ,45ce56
49.46701308428231,5.193935084987331,false,1548113210,64.01957934362719,BCS1263 ,406f68
49.46924759169756,5.06328685863598,false,1548113460,60.86220358091873,AFR382  ,394a18
49.47029113769531,5.45153166118421,false,1548112130,63.02819048759755,BCS1519 ,3c542e
49.472599352820446,6.0936262800886825,false,1548111760,336.53597759529254,BCS7121 ,34464a
49.4739990234375,5.593486585115131,false,1548112010,62.59242456218159,SRR6315 ,45ce56
49.475485591565146,5.221994760874155,false,1548113220,64.01957934362719,BCS1263 ,406f68
49.4791259765625,5.478202418277138,false,1548112140,63.08523325022795,BCS1519 ,3c542e
49.47935485839844,5.121146754214638,false,1548112690,49.97351540229373,AFR188  ,394a09
49.47962951660156,5.092018528988486,false,1548113470,60.96918982792425,AFR382  ,394a18
49.48037357653602,4.779795053842905,false,1548112410,41.09145570554055,UPS257  ,a3dcd6
49.484144307799255,5.617576805320946,false,1548112020,53.15921606075247,SRR6315 ,45ce56
49.4845167257018,4.051505423880912,false,1548111630,263.08453753359146,FDX5112 ,ad9302
49.48484259136652,5.249905972867399,false,1548113230,64.01957934362719,BCS1263 ,406f68
49.486658128641416,4.07874854835304,false,1548111620,262.9962993973869,FDX5112 ,ad9302
49.48879953158104,5.507416596283784,false,1548112150,63.14410980057146,BCS1519 ,3c542e
49.489032292770126,4.108738254856419,false,1548111610,263.01329546333307,FDX5112 ,ad9302
49.48979187011719,6.082089072779604,false,1548111770,336.53597759529254,BCS7121 ,34464a
49.4900098897643,5.120742385451858,false,1548113480,61.135588661305526,AFR382  ,394a18
49.492616815082094,5.145461623733108,false,1548112700,49.97351540229373,AFR188  ,394a09
49.49317932128906,5.2779187654194075,false,1548113240,64.07672806524127,BCS1263 ,406f68
49.49601745605469,5.638226960834704,false,1548112030,45.10323552704471,SRR6315 ,45ce56
49.49634099410752,4.801173854518581,false,1548112420,40.92698955194779,UPS257  ,a3dcd6
